yy,mm,lat5,lon5,cwp_grid,days,skj_c,yft_c,oth_c
1950,8,"25N","150E","61250015000",0,0.000,0.000,0.000
1950,8,"25N","155E","61250015500",0,0.000,0.000,0.000
1950,8,"25N","160E","61250016000",0,0.000,0.000,0.000
1950,8,"30N","125E","61300012500",0,0.000,0.000,0.000
1950,8,"30N","130E","61300013000",0,0.000,0.000,0.000
1950,8,"30N","135E","61300013500",0,0.000,0.000,0.000
1950,8,"30N","140E","61300014000",0,0.000,0.000,0.000
1950,8,"30N","145E","61300014500",0,0.000,0.000,0.000
1950,8,"30N","150E","61300015000",0,0.000,0.000,0.000
1950,8,"30N","155E","61300015500",0,0.000,0.000,0.000
1950,8,"35N","140E","61350014000",0,0.000,0.000,0.000
1950,8,"35N","145E","61350014500",90,296.678,0.000,0.000
1950,8,"35N","150E","61350015000",126,554.950,0.000,0.000
1950,8,"35N","155E","61350015500",153,773.544,0.000,0.000
1950,8,"35N","160E","61350016000",0,0.000,0.000,0.000
1950,8,"40N","140E","61400014000",0,0.000,0.000,0.000
1950,8,"40N","145E","61400014500",68,218.310,0.000,0.000
1950,8,"40N","150E","61400015000",326,1708.419,0.000,0.000
1950,8,"40N","155E","61400015500",206,1112.423,0.000,0.000
1950,8,"40N","160E","61400016000",0,0.000,0.000,0.000
1950,9,"20N","115E","61200011500",0,0.000,0.000,0.000
1950,9,"20N","120E","61200012000",0,0.000,0.000,0.000
1950,9,"20N","125E","61200012500",0,0.000,0.000,0.000
1950,9,"20N","130E","61200013000",0,0.000,0.000,0.000
1950,9,"20N","135E","61200013500",0,0.000,0.000,0.000
1950,9,"20N","140E","61200014000",0,0.000,0.000,0.000
1950,9,"20N","145E","61200014500",0,0.000,0.000,0.000
1950,9,"20N","150E","61200015000",0,0.000,0.000,0.000
1950,9,"20N","155E","61200015500",0,0.000,0.000,0.000
1950,9,"20N","160E","61200016000",0,0.000,0.000,0.000
1950,9,"25N","125E","61250012500",0,0.000,0.000,0.000
1950,9,"25N","130E","61250013000",0,0.000,0.000,0.000
1950,9,"25N","135E","61250013500",0,0.000,0.000,0.000
1950,9,"25N","140E","61250014000",0,0.000,0.000,0.000
1950,9,"25N","145E","61250014500",0,0.000,0.000,0.000
1950,9,"25N","150E","61250015000",0,0.000,0.000,0.000
1950,9,"25N","155E","61250015500",0,0.000,0.000,0.000
1950,9,"25N","160E","61250016000",0,0.000,0.000,0.000
1950,9,"30N","125E","61300012500",0,0.000,0.000,0.000
1950,9,"30N","130E","61300013000",0,0.000,0.000,0.000
1950,9,"30N","135E","61300013500",0,0.000,0.000,0.000
1950,9,"30N","140E","61300014000",0,0.000,0.000,0.000
1950,9,"30N","145E","61300014500",0,0.000,0.000,0.000
1950,9,"30N","150E","61300015000",0,0.000,0.000,0.000
1950,9,"30N","160E","61300016000",0,0.000,0.000,0.000
1950,9,"35N","140E","61350014000",0,0.000,0.000,0.000
1950,9,"35N","145E","61350014500",62,224.915,0.000,0.000
1950,9,"35N","150E","61350015000",0,0.000,0.000,0.000
1950,9,"35N","155E","61350015500",0,0.000,0.000,0.000
1950,9,"35N","160E","61350016000",0,0.000,0.000,0.000
1950,9,"40N","140E","61400014000",0,0.000,0.000,0.000
1950,9,"40N","145E","61400014500",93,401.350,0.000,0.000
1950,9,"40N","150E","61400015000",488,2833.865,0.000,0.000
1950,9,"40N","155E","61400015500",221,1173.358,0.000,0.000
1950,9,"40N","160E","61400016000",0,0.000,0.000,0.000
1950,9,"45N","150E","61450015000",0,0.000,0.000,0.000
1950,10,"20N","115E","61200011500",0,0.000,0.000,0.000
1950,10,"20N","120E","61200012000",0,0.000,0.000,0.000
1950,10,"20N","125E","61200012500",0,0.000,0.000,0.000
1950,10,"20N","130E","61200013000",0,0.000,0.000,0.000
1950,10,"20N","135E","61200013500",0,0.000,0.000,0.000
1950,10,"20N","140E","61200014000",0,0.000,0.000,0.000
1950,10,"20N","145E","61200014500",0,0.000,0.000,0.000
1950,10,"20N","150E","61200015000",0,0.000,0.000,0.000
1950,10,"20N","155E","61200015500",0,0.000,0.000,0.000
1950,10,"20N","160E","61200016000",0,0.000,0.000,0.000
1950,10,"25N","125E","61250012500",0,0.000,0.000,0.000
1950,10,"25N","130E","61250013000",0,0.000,0.000,0.000
1950,10,"25N","135E","61250013500",0,0.000,0.000,0.000
1950,10,"25N","140E","61250014000",0,0.000,0.000,0.000
1950,10,"25N","145E","61250014500",0,0.000,0.000,0.000
1950,10,"25N","155E","61250015500",0,0.000,0.000,0.000
1950,10,"25N","160E","61250016000",0,0.000,0.000,0.000
1950,10,"30N","130E","61300013000",0,0.000,0.000,0.000
1950,10,"30N","135E","61300013500",0,0.000,0.000,0.000
1950,10,"30N","140E","61300014000",0,0.000,0.000,0.000
1950,10,"30N","145E","61300014500",0,0.000,0.000,0.000
1950,10,"30N","150E","61300015000",0,0.000,0.000,0.000
1950,10,"30N","155E","61300015500",0,0.000,0.000,0.000
1950,10,"35N","140E","61350014000",0,0.000,0.000,0.000
1950,10,"35N","145E","61350014500",0,0.000,0.000,0.000
1950,10,"35N","150E","61350015000",0,0.000,0.000,0.000
1950,10,"35N","155E","61350015500",0,0.000,0.000,0.000
1950,10,"35N","160E","61350016000",0,0.000,0.000,0.000
1950,10,"40N","140E","61400014000",0,0.000,0.000,0.000
1950,10,"40N","145E","61400014500",0,0.000,0.000,0.000
1950,10,"40N","150E","61400015000",198,698.854,0.000,0.000
1950,10,"40N","155E","61400015500",82,272.921,0.000,0.000
1950,10,"40N","160E","61400016000",0,0.000,0.000,0.000
1950,11,"20N","115E","61200011500",0,0.000,0.000,0.000
1950,11,"20N","120E","61200012000",0,0.000,0.000,0.000
1950,11,"20N","125E","61200012500",0,0.000,0.000,0.000
1950,11,"20N","130E","61200013000",0,0.000,0.000,0.000
1950,11,"20N","135E","61200013500",0,0.000,0.000,0.000
1950,11,"20N","140E","61200014000",0,0.000,0.000,0.000
1950,11,"20N","145E","61200014500",0,0.000,0.000,0.000
1950,11,"20N","150E","61200015000",0,0.000,0.000,0.000
1950,11,"20N","155E","61200015500",0,0.000,0.000,0.000
1950,11,"25N","125E","61250012500",0,0.000,0.000,0.000
1950,11,"25N","130E","61250013000",0,0.000,0.000,0.000
1950,11,"25N","135E","61250013500",0,0.000,0.000,0.000
1950,11,"25N","140E","61250014000",0,0.000,0.000,0.000
1950,11,"25N","145E","61250014500",0,0.000,0.000,0.000
1950,11,"25N","155E","61250015500",0,0.000,0.000,0.000
1950,11,"30N","130E","61300013000",0,0.000,0.000,0.000
1950,11,"30N","135E","61300013500",0,0.000,0.000,0.000
1950,11,"30N","140E","61300014000",0,0.000,0.000,0.000
1950,11,"35N","140E","61350014000",0,0.000,0.000,0.000
1950,11,"35N","145E","61350014500",0,0.000,0.000,0.000
1950,11,"35N","150E","61350015000",0,0.000,0.000,0.000
